text,present,missing
@AskeBay I'd rather make this public so people can see this ,0,1
"!  It was way too loose, I'd size down if I were you.",1,0
"!  It was a bit loose, so you may want to size down.",1,0
The garment fit great,1,0
. reasonably priced!,0,1
". i can see why it was highly rated, gorgeous dress - just not on me.
",0,1
". the fur collar is a special touch. the one i tried on had several loose threads hanging from the seams and the seams puckered a bit here and there. i loved the jacket but did not feel that the quality in construction i would expect was there. however, ",0,1
. very stylish and comfy with nice neckline. i love retailer anything. i'm obsessed with this store and every single thing in it. even the smell just makes me happy when i en,0,1
"This is a pretty dress, but it runs at least one size too large",1,0
Probably not for everyone but boy do i love it and i've gotten loads of compliments on it,0,1
"
i am 5'7"", 155# and bought a size 10, fits perfectly!
",1,0
. great buy!!,0,1
. the fit on the model looked a little loose but when i got mine it seemed a bit tight! so i took it back to the store ,1,0
. love these!,0,1
Dress runs small esp where the zipper area runs,1,0
. super cute!!,0,1
. i ordered the sp which typically fits me and it was very tight! the material on the top looks and feels very c,1,0
". love, love!!",0,1
Love this dress,0,1
". so small in fact that i could not zip it up! i reordered it in petite medium, which was just ok. overall, the top half was comfortable and fit nicely, but the bottom half had a very tight under layer and several ",1,0
. love this shirt!!!,0,1
". not a stranger to alterations, shortening and narrowing the skirt would take away from the embellishment of the garment. i love the color and the idea of the style but it just did not work on me. i returned this dress.",1,0
. i usually get an xs but it runs a little snug in bust so i ordered up a size. very flattering ,1,0
". if you're less busty (34b cup or smaller), a s petite will fit you perfectly (snug, but not tight). i love that i could dress it up for a party, or down for work. i love that the tulle is longer then the fabric underneath.",1,0
. the size small fit me well - i am usually a size 2/4 with a small bust. in my opinion it runs small and those with larger busts will definitely have to size up (but then perhaps the waist will be too big). the prob,1,0
. i hope they make someone very happy!,0,1
". once i steamed the tulle, it was perfect! i ordered an xsp. length was perfect too.",0,1
